throw_id,team_id,fielder_id,fielder_position,thrower_id,thrower_position,receiver_id,receiver_position,exchange_time,throw_pos_x,throw_pos_y,throw_velo_x,throw_velo_y,throw_velo_z,batter_pos_x_at_throw,batter_pos_y_at_throw,batter_velo_at_throw,bounce_pos_x,bounce_pos_y,bounce_velo_x,bounce_velo_y,bounce_velo_z,receiver_pos_x,receiver_pos_y,receiver_dist_from_1b,throw_deflected_by_receiver,start_state,end_state,runs_on_play,batter_result
3,11,400,6,400,6,63,3,1.533,-60.11612334,132.1872834,60.04755684,-33.59636391,8.583470193,26.91290837,26.55610236,25.78753224,38.06138905,69.47462944,32.81451039,-25.45250404,7.330194153,56.19932251,60.18777558,8.202014722,0,____1,1___1,0,first
6,11,228,5,390,4,63,3,0.534,-0.562562987,122.8219426,51.29391709,-45.31651898,8.831869792,43.39641349,44.29049077,28.64787775,NA,NA,NA,NA,NA,59.01313446,65.65793835,5.04756643,0,1___1,1___2,0,first
7,8,415,4,415,4,143,3,1.266,1.598750836,123.0369307,50.04964932,-41.71744681,5.986785292,25.30078276,29.97071816,25.13042825,NA,NA,NA,NA,NA,61.03748917,64.42913398,2.719261308,0,123_1,____3,0,out
8,8,308,1,308,1,143,3,1.8,25.40318471,59.92458706,24.01966957,3.2891581,12.78366242,19.69922393,15.2499054,18.50923026,NA,NA,NA,NA,NA,63.14207528,65.64871963,2.069797422,0,____1,____2,0,out
10,1,314,4,300,6,514,3,0.733,8.957441223,126.1658779,51.63066578,-63.36172983,7.811718521,40.11829628,41.43339612,27.31850926,NA,NA,NA,NA,NA,59.77039545,64.04605807,3.890504263,0,123_1,____3,0,out
11,2,312,4,312,4,695,3,1.2,15.07507282,138.7224645,41.26328515,-62.25064992,6.230779194,39.70496244,41.80575134,27.57804408,NA,NA,NA,NA,NA,59.62285979,63.94086016,4.028031303,0,____0,____1,0,out
14,2,396,5,396,5,695,3,0.966,-2.147728418,32.85646662,59.1138138,38.37034393,5.955814895,36.31823954,39.76688198,29.64265629,NA,NA,NA,NA,NA,59.95096543,66.07345477,4.419241999,0,_2__0,__3_1,0,out
15,1,314,4,314,4,514,3,0.967,54.2639673,131.1373862,10.72179018,-68.71563854,6.200950808,38.21504519,38.47143876,26.57897489,NA,NA,NA,NA,NA,60.88986178,64.65001329,2.929510393,0,____0,____1,0,out
16,1,201,5,201,5,514,3,1.633,-87.22932296,72.48177354,75.13135891,-3.870045992,4.13586463,27.59490095,29.82228089,24.41569482,18.07364999,62.93595976,48.47894422,-6.76759226,6.582795685,52.39105796,59.71060076,11.91499249,0,_23_1,12__1,1,first
17,2,121,6,312,4,695,3,0.366,0.956746576,125.6518656,54.84526633,-50.39206997,3.521748862,41.90372228,43.19406306,27.26968383,NA,NA,NA,NA,NA,60.02863833,64.10957677,3.641426518,0,1___0,____2,0,out
